field,raw,count,auto_matched,score,canonical,review,evidence
Decisão,IMPROCEDÊNCIA/ NÃO DECRETAMENTO,16,0,0.35,Negar provimento,0,rule
Decisão,INDEFERIDA A PROVIDÊNCIA,16,0,0.46,Indeferir,0,rule
Decisão,NEGADAS AMBAS AS REVISTAS,16,0,0.28,Negar provimento,0,rule
Decisão,NÃO CONHECIMENTO DO OBJECTO DO RECURSO,16,0,0.32,Não conhecer,0,rule
Decisão,ORDENADA A BAIXA DO PROCESSO,16,0,0.57,Ordenar baixa dos autos,0,rule
Decisão,PROCEDÊNCIA/DECRETAMENTO TOTAL,16,0,0.33,Conceder provimento,0,rule
Decisão,PROVIDO. PROVIDO PARCIAL.,16,0,0.50,Conceder provimento parcialmente,1,rule:multi-part
Decisão,ANULADO O ACORDÃO RECORRIDO,15,0,0.33,Anular,0,rule
Decisão,DENEGADA A REVISÃO,15,0,0.39,Negar provimento,0,rule
Decisão,FIXAÇÃO DE JURISPRUDÊNCIA,15,0,0.76,Fixar jurisprudência,0,rule
Decisão,NEGADA REVISTA.,15,0,0.50,Negar provimento,0,rule
Decisão,Provido parcialmente,15,0,0.59,Conceder provimento parcialmente,0,rule
Decisão,ALTERADA A ESPÉCIE DE RECURSO.,14,0,0.21,Sem informação,0,rule
Decisão,CONFIRMADO,14,0,0.80,Confirmar,0,rule
Decisão,DESATENDIDA A RECLAMAÇÃO,14,0,0.38,Sem informação,0,rule
Decisão,INDEFERIDO A RECLAMAÇÃO,14,0,0.39,Indeferir,0,rule
Decisão,NEGADAS AS REVISTAS.,14,0,0.37,Negar provimento,0,rule
Decisão,NÃO ADMITIDA A REVISTA.,14,0,0.50,Não admitir,0,rule
Decisão,NÃO PROVIDO,14,0,0.56,Negar provimento,0,rule
Decisão,ANULADO O ACORDÃO,13,0,0.35,Anular,0,rule
Decisão,ANULADO O JULGAMENTO. ORDENADA A BAIXA DO PROCESSO.,13,0,0.32,Anular,1,rule:multi-part
Decisão,NÃO ADMITIDA A REVISTA,13,0,0.50,Não admitir,0,rule
Decisão,ORDENADA A BAIXA DO PROCESSO. ANULADA A DECISÃO.,13,0,0.43,Anular,1,rule:multi-part
Decisão,REVISTA PARCIALMENTE PROCEDENTE.,13,0,0.39,Conceder provimento parcialmente,0,rule
Decisão,Rejeitado o recurso,13,0,0.42,Rejeitar,0,rule
Decisão,SUSPENSÃO DA INSTÂNCIA.,13,0,0.82,Suspender a instância,0,rule
Decisão,ALTERADA A ESPÉCIE DE RECURSO. NEGADO PROVIMENTO.,12,0,0.33,Negar provimento,1,rule:multi-part
Decisão,CONCEDIDA A REVISTA. DECIDIDO NÃO TOMAR CONHECIMENTO.,12,0,0.40,Conceder provimento,1,rule:multi-part
Decisão,CONCEDIDAS AS REVISTAS,12,0,0.41,Conceder provimento,0,rule
Decisão,Concedida parcialmente a Revista,12,0,0.41,Conceder provimento parcialmente,0,rule
Decisão,DEFERIDA PARCIALMENTE A RECLAMAÇÃO,12,0,0.35,Deferir,0,rule
Decisão,IMPROCEDENTE O RECURSO,12,0,0.32,Negar provimento,0,rule
Decisão,IMPROCEDENTE.,12,0,0.38,Negar provimento,0,rule
Decisão,INDEFERIDA A PETIÇÃO DE HABEAS CORPUS,12,0,0.30,Indeferir,0,rule
Decisão,Indeferido o pedido de Habeas Corpus,12,0,0.28,Indeferir,0,rule
Decisão,JULGADA IMPROCEDENTE A ACÇÃO.,12,0,0.36,Negar provimento,0,rule
Decisão,Não se toma conhecimento do objecto do Recurso,12,0,0.26,Não conhecer,0,rule
Decisão,PROVIDO PARCIAL. ALTERADA A DECISÃO.,12,0,0.26,Conceder provimento parcialmente,1,rule:multi-part
Decisão,PROVIDO PARCIAL. ORDENADA A BAIXA DO PROCESSO.,12,0,0.36,Conceder provimento parcialmente,1,rule:multi-part
Decisão,REFORMADO O ACORDÃO.,12,0,0.32,Sem informação,0,rule
Decisão,Rejeitado,12,0,0.78,Rejeitar,0,rule
Decisão,ANULADO O JULGAMENTO,11,0,0.40,Anular,0,rule
Decisão,BAIXA DOS AUTOS À RELAÇÃO,11,0,0.32,Ordenar baixa dos autos,0,rule
Decisão,CONCEDIDO PARCIALMENTE,11,0,0.66,Conceder provimento parcialmente,0,rule
Decisão,Concedida parcialmente a revista,11,0,0.41,Conceder provimento parcialmente,0,rule
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO,11,0,0.35,Não conhecer,0,rule
Decisão,DEFERIDA A RECLAMAÇÃO.,11,0,0.38,Deferir,0,rule
Decisão,INDEFERIDO O PEDIDO DE HABEAS CORPUS,11,0,0.28,Indeferir,0,rule
Decisão,NEGADO PROVIMENTO AO AGRAVO.,11,0,0.56,Negar provimento,0,rule
Decisão,Negada a revisão,11,0,0.44,Negar provimento,0,rule
Decisão,PROVIDO PARCIALMENTE O RECURSO,11,0,0.30,Conceder provimento parcialmente,0,rule
Decisão,REVOGADA A DECISÃO. ORDENADA A BAIXA DO PROCESSO.,11,0,0.33,Revogar,1,rule:multi-part
Decisão,ADMITIDA A REVISTA,10,0,0.41,Admitir,0,rule
Decisão,ANULADA A DECISÃO RECORRIDA,10,0,0.33,Anular,0,rule
Decisão,ANULADA A DECISÃO. MANDADA AMPLIAR A MATÉRIA DE FACTO.,10,0,0.25,Anular,1,rule:multi-part
Decisão,CONCEDIDA PARCIALMENTE A REVISTA. ORDENADA A BAIXA DO PROCESSO.,10,0,0.32,Conceder provimento parcialmente,1,rule:multi-part
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO. ORDENADA A BAIXA DO PROCESSO.,10,0,0.26,Não conhecer,1,rule:multi-part
Decisão,DECLARAÇÃO DE INCOMPETÊNCIA.,10,0,0.78,Declarar incompetência,0,rule
Decisão,NEGADO PROVIMENTO. DECLARAÇÃO DE COMPETÊNCIA.,10,0,0.43,Negar provimento,1,rule:multi-part
Decisão,Negada,10,0,0.29,Negar provimento,0,rule
Decisão,PROVIDO. DECIDIDO NÃO TOMAR CONHECIMENTO.,10,0,0.32,Conceder provimento,1,rule:multi-part
Decisão,VERIFICADA A OPOSIÇÃO DE JULGADOS.,10,0,0.30,Sem informação,0,rule
Decisão,CONCEDIDA A REVISTA. ORDENADO O PROSSEGUIMENTO DO PROCESSO.,9,0,0.34,Conceder provimento,1,rule:multi-part
Decisão,CONCEDIDAS PARCIALMENTE AS REVISTAS,9,0,0.40,Conceder provimento parcialmente,0,rule
Decisão,CONCEDIDO PROVIMENTO À REVISTA,9,0,0.59,Conceder provimento,0,rule
Decisão,DESISTENCIA.,9,0,0.43,Julgar extinta a instância,0,rule
Decisão,FINDO O RECURSO POR NÃO HAVER OPOSIÇÃO.,9,0,0.26,Sem informação,0,rule
Decisão,Indeferido,9,0,0.80,Indeferir,0,rule
Decisão,JULGADO IMPROCEDENTE O RECURSO,9,0,0.33,Negar provimento,0,rule
Decisão,MANDADA AMPLIAR A MATÉRIA DE FACTO. ORDENADA A BAIXA DO PROCESSO.,9,0,0.25,Ordenar baixa dos autos,1,rule:multi-part
Decisão,ORDENADA DILIGÊNCIA.,9,0,0.40,Ordenar baixa dos autos,0,rule
Decisão,ORDENADO O REENVIO DO PROCESSO,9,0,0.37,Ordenar baixa dos autos,0,rule
Decisão,REFORMADO O ACÓRDÃO.,9,0,0.32,Sem informação,0,rule
Decisão,Rejeitada a admissão,9,0,0.36,Rejeitar,0,rule
Decisão,ARQUIVADOS OS AUTOS.,8,0,0.53,Julgar extinta a instância,0,rule
Decisão,"INDEFERIDA A RECLAMAÇÃO, MANTENDO-SE O DESPACHO DO RELATOR",8,0,0.26,Indeferir,0,rule
Decisão,JULGADO O RECURSO PROCEDENTE.,8,0,0.36,Conceder provimento,0,rule
Decisão,Julgado improcedente,8,0,0.45,Negar provimento,0,rule
Decisão,NAGADA A REVISTA,8,0,0.38,Negar provimento,0,rule
Decisão,Negada a providência,8,0,0.60,Negar provimento,0,rule
Decisão,NÃO CONHECIMENTO DO OBJETO DO RECURSO,8,0,0.32,Não conhecer,0,rule
Decisão,ORDENADA A BAIXA DO PROCESSO. MANDADA AMPLIAR A MATERIA DE FACTO.,8,0,0.30,Ordenar baixa dos autos,1,rule:multi-part
Decisão,Provido,8,0,0.38,Conceder provimento,0,rule
Decisão,REJEITADOS OS RECURSOS,8,0,0.50,Rejeitar,0,rule
Decisão,REVOGADO O ACÓRDÃO RECORRIDO,8,0,0.29,Revogar,0,rule
Decisão,UNANIMIDADE,8,0,0.27,Sem informação,0,rule
Decisão,ACLARADO O ACÓRDÃO.,7,0,0.30,Sem informação,0,rule
Decisão,ADMITIDA A REVISTA.,7,0,0.41,Admitir,0,rule
Decisão,ALTERADA A ESPECIE DE RECURSO.,7,0,0.21,Sem informação,0,rule
Decisão,CONCEDIDA PARCIALMENTE REVISTA,7,0,0.43,Conceder provimento parcialmente,0,rule
Decisão,CONCEDIDA.,7,0,0.37,Conceder provimento,0,rule
Decisão,CONCEDIDO PROVIMENTO PARCIAL AO RECURSO,7,0,0.67,Conceder provimento parcialmente,0,rule
Decisão,CONFIRMADA,7,0,0.80,Confirmar,0,rule
Decisão,CONFIRMADA A DECISÃO,7,0,0.40,Confirmar,0,rule
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO. NEGADA A REVISTA.,7,0,0.33,Não conhecer,1,rule:multi-part
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO. PROVIDO PARCIAL.,7,0,0.31,Conceder provimento parcialmente,1,rule:multi-part
Decisão,Desatendida a reclamação,7,0,0.38,Indeferir,0,rule
Decisão,INDEFERIDO O PEDIDO DE REFORMA,7,0,0.30,Indeferir,0,rule
Decisão,INDEFERIDO O REQUERIDO,7,0,0.41,Indeferir,0,rule
Decisão,JULGADO IMPROCEDENTE,7,0,0.45,Negar provimento,0,rule
Decisão,Julgado o Recurso improcedente,7,0,0.33,Negar provimento,0,rule
Decisão,NAGADA A REVISTA.,7,0,0.38,Negar provimento,0,rule
Decisão,NEGADO O PROVIMENTO.,7,0,0.79,Negar provimento,0,rule
Decisão,NEGADO PROVIMENTO AO AGRAVO,7,0,0.56,Negar provimento,0,rule
Decisão,NEGADO PROVIMENTO. ALTERADA A QUALIFICAÇÃO JURÍDICA.,7,0,0.29,Negar provimento,1,rule:multi-part
Decisão,NEGADO PROVIMENTO. REVOGADA A DECISÃO.,7,0,0.41,Negar provimento,1,rule:multi-part
Decisão,Negada a Revisão,7,0,0.44,Negar provimento,0,rule
Decisão,Negado provimento à revista,7,0,0.56,Negar provimento,0,rule
Decisão,NÃO SE CONHECE DO OBJECTO DO RECURSO,7,0,0.33,Não conhecer,0,rule
